"id","age_sim","gender_sim","race_ethn_sim","neur_1_sim","neur_2_sim","neur_3_sim","neur_4_sim","neur_5_sim","neur_6_sim","neur_7_sim","neur_8_sim","lic_1_sim","lic_2_sim","lic_3_sim","lic_4_sim","lic_5_sim","lic_6_sim","lic_7_sim","lic_8_sim","lic_9_sim","lic_10_sim","lic_11_sim"
1,"19","Man","Native Hawaiian or Pacific Islander",3,5,2,3,4,3,2,3,3,5,1,2,3,3,3,3,3,1,5
2,"18","Woman","Hispanic or Latino",1,3,4,4,3,4,3,2,2,2,2,3,3,3,1,3,3,4,4
3,"21","Man","White",3,2,4,2,3,3,5,2,2,2,1,3,2,2,4,4,3,3,3
4,"18","Man","White",3,3,2,4,2,2,4,4,4,3,4,3,4,4,3,2,2,3,3
5,"20","Woman","American Indian or Alaska Native",3,3,4,1,4,4,1,3,4,2,3,4,2,1,3,2,1,1,4
6,"22","Woman","Black or African American",4,3,3,2,2,5,2,1,2,1,3,3,3,5,4,4,2,3,5
7,"20","Nonbinary or genderqueer","White",1,1,4,3,4,3,3,4,1,2,2,4,3,3,5,3,3,3,4
8,"18","Woman","Black or African American",3,4,4,3,5,3,4,3,2,2,3,1,2,3,3,3,4,1,4
9,"20","Man","Asian",3,3,2,3,3,3,4,2,2,2,3,5,4,3,4,4,3,2,3
10,"20","Woman","White",1,4,3,4,2,4,3,3,2,3,1,2,4,3,4,2,2,3,5
11,"20","Woman","Black or African American",4,3,2,3,2,2,3,4,4,3,2,3,3,3,3,2,4,3,5
12,"19","Man","Black or African American",2,4,4,4,2,2,4,4,4,3,2,3,2,4,2,2,3,2,4
13,"20","Woman","Middle Eastern or North African",3,3,3,3,2,2,2,4,3,3,3,3,3,1,4,3,2,3,4
14,"18","Nonbinary or genderqueer","Hispanic or Latino",2,3,2,3,3,3,4,1,3,4,3,2,2,3,4,4,2,3,3
15,"22","Man","White",2,3,3,2,4,2,3,3,3,2,4,3,4,1,3,5,3,3,3
16,"20","Woman","Asian",3,2,2,4,3,3,3,5,4,2,2,3,2,3,4,3,3,4,4
17,"20","Woman","White",4,2,3,3,2,3,4,2,3,3,3,3,3,4,2,3,2,3,4
18,"22","Man","Hispanic or Latino",3,5,3,2,3,4,5,2,1,3,2,3,4,4,4,3,3,3,5
19,"20","Woman","Hispanic or Latino",3,3,3,5,4,3,3,4,4,3,1,2,5,2,5,3,3,3,4
20,"19","Woman","White",2,1,4,4,3,2,3,2,4,2,3,3,3,3,4,3,2,4,1
21,"21","Man","White",2,3,2,3,3,2,5,4,3,4,2,3,4,3,2,2,3,3,3
22,"18","Man","Asian",3,2,5,4,3,2,4,1,3,2,3,3,3,3,2,2,5,4,4
23,"22","Man","Hispanic or Latino",2,3,3,4,4,3,3,1,2,3,3,3,3,4,2,3,5,2,4
24,"18","Woman","Black or African American",3,4,4,2,4,4,2,4,2,3,5,4,2,3,4,4,2,3,4
25,"19","Man","White",2,2,3,2,4,3,4,2,3,3,4,2,3,4,2,4,3,4,5
26,"19","Woman","White",3,1,3,2,1,3,4,2,3,3,5,3,3,3,4,3,4,2,5
27,"18","Man","Asian",2,4,2,4,4,1,4,3,3,3,3,3,2,4,2,5,1,3,5
28,"20","Woman","White",3,5,3,2,2,4,3,2,2,2,3,2,3,3,4,3,3,3,2
29,"19","Woman","White",4,4,3,3,1,2,3,3,2,2,4,3,4,2,3,3,1,2,2
